// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1/" /p:OutDir="C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1\bin\Release\net10.0/" /p:OutputPath="C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1\bin\Release\net10.0/" /p:PublishDir="C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1\publish/" in C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1
// command took 1.58 sec and exited with 0
// start dotnet  build -c Release --no-restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1/" /p:OutDir="C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1\bin\Release\net10.0/" /p:OutputPath="C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1\bin\Release\net10.0/" /p:PublishDir="C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1\publish/" --output "C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1\bin\Release\net10.0/" in C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1
// command took 5.13 sec and exited with 0
// ***** Done, took 00:00:06 (6.77 sec)   *****
// Found 1 benchmarks:
//   MatchingBenchmark.Match1000Orders: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
OverheadActual   2: 256 op, 1700.00 ns, 6.6406 ns/op
OverheadActual   3: 256 op, 1600.00 ns, 6.2500 ns/op
OverheadActual   4: 256 op, 1400.00 ns, 5.4688 ns/op
OverheadActual   5: 256 op, 1600.00 ns, 6.2500 ns/op
OverheadActual   6: 256 op, 1300.00 ns, 5.0781 ns/op
OverheadActual   7: 256 op, 1100.00 ns, 4.2969 ns/op
OverheadActual   8: 256 op, 1300.00 ns, 5.0781 ns/op
OverheadActual   9: 256 op, 1300.00 ns, 5.0781 ns/op
OverheadActual  10: 256 op, 1200.00 ns, 4.6875 ns/op
OverheadActual  11: 256 op, 1100.00 ns, 4.2969 ns/op
OverheadActual  12: 256 op, 1100.00 ns, 4.2969 ns/op
OverheadActual  13: 256 op, 1000.00 ns, 3.9063 ns/op
OverheadActual  14: 256 op, 1100.00 ns, 4.2969 ns/op
OverheadActual  15: 256 op, 1100.00 ns, 4.2969 ns/op
OverheadActual  16: 256 op, 1200.00 ns, 4.6875 ns/op
OverheadActual  17: 256 op, 1300.00 ns, 5.0781 ns/op
OverheadActual  18: 256 op, 1300.00 ns, 5.0781 ns/op
OverheadActual  19: 256 op, 1300.00 ns, 5.0781 ns/op
OverheadActual  20: 256 op, 1100.00 ns, 4.2969 ns/op

WorkloadWarmup   1: 256 op, 891940200.00 ns, 3.4841 ms/op
WorkloadWarmup   2: 256 op, 916042000.00 ns, 3.5783 ms/op
WorkloadWarmup   3: 256 op, 879871300.00 ns, 3.4370 ms/op
WorkloadWarmup   4: 256 op, 887359500.00 ns, 3.4662 ms/op
WorkloadWarmup   5: 256 op, 862728700.00 ns, 3.3700 ms/op
WorkloadWarmup   6: 256 op, 864670200.00 ns, 3.3776 ms/op

// BeforeActualRun
WorkloadActual   1: 256 op, 714036900.00 ns, 2.7892 ms/op
WorkloadActual   2: 256 op, 746717600.00 ns, 2.9169 ms/op
WorkloadActual   3: 256 op, 786929600.00 ns, 3.0739 ms/op
WorkloadActual   4: 256 op, 746299900.00 ns, 2.9152 ms/op
WorkloadActual   5: 256 op, 739330900.00 ns, 2.8880 ms/op
WorkloadActual   6: 256 op, 718946500.00 ns, 2.8084 ms/op
WorkloadActual   7: 256 op, 700818400.00 ns, 2.7376 ms/op
WorkloadActual   8: 256 op, 703892000.00 ns, 2.7496 ms/op
WorkloadActual   9: 256 op, 718641500.00 ns, 2.8072 ms/op
WorkloadActual  10: 256 op, 701303500.00 ns, 2.7395 ms/op
WorkloadActual  11: 256 op, 652441800.00 ns, 2.5486 ms/op
WorkloadActual  12: 256 op, 695910700.00 ns, 2.7184 ms/op
WorkloadActual  13: 256 op, 679608700.00 ns, 2.6547 ms/op
WorkloadActual  14: 256 op, 641818100.00 ns, 2.5071 ms/op
WorkloadActual  15: 256 op, 699613700.00 ns, 2.7329 ms/op
WorkloadActual  16: 256 op, 753042500.00 ns, 2.9416 ms/op
WorkloadActual  17: 256 op, 712973200.00 ns, 2.7851 ms/op
WorkloadActual  18: 256 op, 690076800.00 ns, 2.6956 ms/op
WorkloadActual  19: 256 op, 661679600.00 ns, 2.5847 ms/op
WorkloadActual  20: 256 op, 721926500.00 ns, 2.8200 ms/op
WorkloadActual  21: 256 op, 701668400.00 ns, 2.7409 ms/op
WorkloadActual  22: 256 op, 700905500.00 ns, 2.7379 ms/op
WorkloadActual  23: 256 op, 694660000.00 ns, 2.7135 ms/op
WorkloadActual  24: 256 op, 723247200.00 ns, 2.8252 ms/op
WorkloadActual  25: 256 op, 714878600.00 ns, 2.7925 ms/op
WorkloadActual  26: 256 op, 691458800.00 ns, 2.7010 ms/op
WorkloadActual  27: 256 op, 703013200.00 ns, 2.7461 ms/op
WorkloadActual  28: 256 op, 722798200.00 ns, 2.8234 ms/op
WorkloadActual  29: 256 op, 905892600.00 ns, 3.5386 ms/op
WorkloadActual  30: 256 op, 815421700.00 ns, 3.1852 ms/op
WorkloadActual  31: 256 op, 892532400.00 ns, 3.4865 ms/op
WorkloadActual  32: 256 op, 827173500.00 ns, 3.2311 ms/op
WorkloadActual  33: 256 op, 825959600.00 ns, 3.2264 ms/op
WorkloadActual  34: 256 op, 814834800.00 ns, 3.1829 ms/op
WorkloadActual  35: 256 op, 837138000.00 ns, 3.2701 ms/op
WorkloadActual  36: 256 op, 845493800.00 ns, 3.3027 ms/op
WorkloadActual  37: 256 op, 777391400.00 ns, 3.0367 ms/op
WorkloadActual  38: 256 op, 708498100.00 ns, 2.7676 ms/op
WorkloadActual  39: 256 op, 727471900.00 ns, 2.8417 ms/op
WorkloadActual  40: 256 op, 690251400.00 ns, 2.6963 ms/op
WorkloadActual  41: 256 op, 673391200.00 ns, 2.6304 ms/op
WorkloadActual  42: 256 op, 700532800.00 ns, 2.7365 ms/op
WorkloadActual  43: 256 op, 690581800.00 ns, 2.6976 ms/op
WorkloadActual  44: 256 op, 684886200.00 ns, 2.6753 ms/op
WorkloadActual  45: 256 op, 723646100.00 ns, 2.8267 ms/op
WorkloadActual  46: 256 op, 780782800.00 ns, 3.0499 ms/op
WorkloadActual  47: 256 op, 895028000.00 ns, 3.4962 ms/op
WorkloadActual  48: 256 op, 904733600.00 ns, 3.5341 ms/op
WorkloadActual  49: 256 op, 889205700.00 ns, 3.4735 ms/op
WorkloadActual  50: 256 op, 882750200.00 ns, 3.4482 ms/op
WorkloadActual  51: 256 op, 916921600.00 ns, 3.5817 ms/op
WorkloadActual  52: 256 op, 873390100.00 ns, 3.4117 ms/op
WorkloadActual  53: 256 op, 835629100.00 ns, 3.2642 ms/op
WorkloadActual  54: 256 op, 845943000.00 ns, 3.3045 ms/op
WorkloadActual  55: 256 op, 833485400.00 ns, 3.2558 ms/op
WorkloadActual  56: 256 op, 743854800.00 ns, 2.9057 ms/op
WorkloadActual  57: 256 op, 825970300.00 ns, 3.2264 ms/op
WorkloadActual  58: 256 op, 820608100.00 ns, 3.2055 ms/op
WorkloadActual  59: 256 op, 954159800.00 ns, 3.7272 ms/op
WorkloadActual  60: 256 op, 957033000.00 ns, 3.7384 ms/op
WorkloadActual  61: 256 op, 829947100.00 ns, 3.2420 ms/op
WorkloadActual  62: 256 op, 779946900.00 ns, 3.0467 ms/op
WorkloadActual  63: 256 op, 707392400.00 ns, 2.7633 ms/op
WorkloadActual  64: 256 op, 685834800.00 ns, 2.6790 ms/op
WorkloadActual  65: 256 op, 734828600.00 ns, 2.8704 ms/op
WorkloadActual  66: 256 op, 710453900.00 ns, 2.7752 ms/op
WorkloadActual  67: 256 op, 695913600.00 ns, 2.7184 ms/op
WorkloadActual  68: 256 op, 690674000.00 ns, 2.6979 ms/op
WorkloadActual  69: 256 op, 690100800.00 ns, 2.6957 ms/op
WorkloadActual  70: 256 op, 653291400.00 ns, 2.5519 ms/op
WorkloadActual  71: 256 op, 739465700.00 ns, 2.8885 ms/op
WorkloadActual  72: 256 op, 772650600.00 ns, 3.0182 ms/op
WorkloadActual  73: 256 op, 706331400.00 ns, 2.7591 ms/op
WorkloadActual  74: 256 op, 717449800.00 ns, 2.8025 ms/op
WorkloadActual  75: 256 op, 718554100.00 ns, 2.8069 ms/op
WorkloadActual  76: 256 op, 702354200.00 ns, 2.7436 ms/op
WorkloadActual  77: 256 op, 672577900.00 ns, 2.6273 ms/op
WorkloadActual  78: 256 op, 681692300.00 ns, 2.6629 ms/op
WorkloadActual  79: 256 op, 690123400.00 ns, 2.6958 ms/op
WorkloadActual  80: 256 op, 717887100.00 ns, 2.8042 ms/op
WorkloadActual  81: 256 op, 884426600.00 ns, 3.4548 ms/op
WorkloadActual  82: 256 op, 848768900.00 ns, 3.3155 ms/op
WorkloadActual  83: 256 op, 859513500.00 ns, 3.3575 ms/op
WorkloadActual  84: 256 op, 861727100.00 ns, 3.3661 ms/op
WorkloadActual  85: 256 op, 857672300.00 ns, 3.3503 ms/op
WorkloadActual  86: 256 op, 866334400.00 ns, 3.3841 ms/op
WorkloadActual  87: 256 op, 878189800.00 ns, 3.4304 ms/op
WorkloadActual  88: 256 op, 834533500.00 ns, 3.2599 ms/op
WorkloadActual  89: 256 op, 731774700.00 ns, 2.8585 ms/op
WorkloadActual  90: 256 op, 744541200.00 ns, 2.9084 ms/op
WorkloadActual  91: 256 op, 719921600.00 ns, 2.8122 ms/op
WorkloadActual  92: 256 op, 729766100.00 ns, 2.8506 ms/op
WorkloadActual  93: 256 op, 739524800.00 ns, 2.8888 ms/op
WorkloadActual  94: 256 op, 753366500.00 ns, 2.9428 ms/op
WorkloadActual  95: 256 op, 729891200.00 ns, 2.8511 ms/op
WorkloadActual  96: 256 op, 756068000.00 ns, 2.9534 ms/op
WorkloadActual  97: 256 op, 728459100.00 ns, 2.8455 ms/op
WorkloadActual  98: 256 op, 712517500.00 ns, 2.7833 ms/op
WorkloadActual  99: 256 op, 716123900.00 ns, 2.7974 ms/op
WorkloadActual  100: 256 op, 703009700.00 ns, 2.7461 ms/op

// AfterActualRun
WorkloadResult   1: 256 op, 714035600.00 ns, 2.7892 ms/op
WorkloadResult   2: 256 op, 746716300.00 ns, 2.9169 ms/op
WorkloadResult   3: 256 op, 786928300.00 ns, 3.0739 ms/op
WorkloadResult   4: 256 op, 746298600.00 ns, 2.9152 ms/op
WorkloadResult   5: 256 op, 739329600.00 ns, 2.8880 ms/op
WorkloadResult   6: 256 op, 718945200.00 ns, 2.8084 ms/op
WorkloadResult   7: 256 op, 700817100.00 ns, 2.7376 ms/op
WorkloadResult   8: 256 op, 703890700.00 ns, 2.7496 ms/op
WorkloadResult   9: 256 op, 718640200.00 ns, 2.8072 ms/op
WorkloadResult  10: 256 op, 701302200.00 ns, 2.7395 ms/op
WorkloadResult  11: 256 op, 652440500.00 ns, 2.5486 ms/op
WorkloadResult  12: 256 op, 695909400.00 ns, 2.7184 ms/op
WorkloadResult  13: 256 op, 679607400.00 ns, 2.6547 ms/op
WorkloadResult  14: 256 op, 641816800.00 ns, 2.5071 ms/op
WorkloadResult  15: 256 op, 699612400.00 ns, 2.7329 ms/op
WorkloadResult  16: 256 op, 753041200.00 ns, 2.9416 ms/op
WorkloadResult  17: 256 op, 712971900.00 ns, 2.7850 ms/op
WorkloadResult  18: 256 op, 690075500.00 ns, 2.6956 ms/op
WorkloadResult  19: 256 op, 661678300.00 ns, 2.5847 ms/op
WorkloadResult  20: 256 op, 721925200.00 ns, 2.8200 ms/op
WorkloadResult  21: 256 op, 701667100.00 ns, 2.7409 ms/op
WorkloadResult  22: 256 op, 700904200.00 ns, 2.7379 ms/op
WorkloadResult  23: 256 op, 694658700.00 ns, 2.7135 ms/op
WorkloadResult  24: 256 op, 723245900.00 ns, 2.8252 ms/op
WorkloadResult  25: 256 op, 714877300.00 ns, 2.7925 ms/op
WorkloadResult  26: 256 op, 691457500.00 ns, 2.7010 ms/op
WorkloadResult  27: 256 op, 703011900.00 ns, 2.7461 ms/op
WorkloadResult  28: 256 op, 722796900.00 ns, 2.8234 ms/op
WorkloadResult  29: 256 op, 905891300.00 ns, 3.5386 ms/op
WorkloadResult  30: 256 op, 815420400.00 ns, 3.1852 ms/op
WorkloadResult  31: 256 op, 892531100.00 ns, 3.4864 ms/op
WorkloadResult  32: 256 op, 827172200.00 ns, 3.2311 ms/op
WorkloadResult  33: 256 op, 825958300.00 ns, 3.2264 ms/op
WorkloadResult  34: 256 op, 814833500.00 ns, 3.1829 ms/op
WorkloadResult  35: 256 op, 837136700.00 ns, 3.2701 ms/op
WorkloadResult  36: 256 op, 845492500.00 ns, 3.3027 ms/op
WorkloadResult  37: 256 op, 777390100.00 ns, 3.0367 ms/op
WorkloadResult  38: 256 op, 708496800.00 ns, 2.7676 ms/op
WorkloadResult  39: 256 op, 727470600.00 ns, 2.8417 ms/op
WorkloadResult  40: 256 op, 690250100.00 ns, 2.6963 ms/op
WorkloadResult  41: 256 op, 673389900.00 ns, 2.6304 ms/op
WorkloadResult  42: 256 op, 700531500.00 ns, 2.7365 ms/op
WorkloadResult  43: 256 op, 690580500.00 ns, 2.6976 ms/op
WorkloadResult  44: 256 op, 684884900.00 ns, 2.6753 ms/op
WorkloadResult  45: 256 op, 723644800.00 ns, 2.8267 ms/op
WorkloadResult  46: 256 op, 780781500.00 ns, 3.0499 ms/op
WorkloadResult  47: 256 op, 895026700.00 ns, 3.4962 ms/op
WorkloadResult  48: 256 op, 904732300.00 ns, 3.5341 ms/op
WorkloadResult  49: 256 op, 889204400.00 ns, 3.4735 ms/op
WorkloadResult  50: 256 op, 882748900.00 ns, 3.4482 ms/op
WorkloadResult  51: 256 op, 916920300.00 ns, 3.5817 ms/op
WorkloadResult  52: 256 op, 873388800.00 ns, 3.4117 ms/op
WorkloadResult  53: 256 op, 835627800.00 ns, 3.2642 ms/op
WorkloadResult  54: 256 op, 845941700.00 ns, 3.3045 ms/op
WorkloadResult  55: 256 op, 833484100.00 ns, 3.2558 ms/op
WorkloadResult  56: 256 op, 743853500.00 ns, 2.9057 ms/op
WorkloadResult  57: 256 op, 825969000.00 ns, 3.2264 ms/op
WorkloadResult  58: 256 op, 820606800.00 ns, 3.2055 ms/op
WorkloadResult  59: 256 op, 954158500.00 ns, 3.7272 ms/op
WorkloadResult  60: 256 op, 957031700.00 ns, 3.7384 ms/op
WorkloadResult  61: 256 op, 829945800.00 ns, 3.2420 ms/op
WorkloadResult  62: 256 op, 779945600.00 ns, 3.0467 ms/op
WorkloadResult  63: 256 op, 707391100.00 ns, 2.7632 ms/op
WorkloadResult  64: 256 op, 685833500.00 ns, 2.6790 ms/op
WorkloadResult  65: 256 op, 734827300.00 ns, 2.8704 ms/op
WorkloadResult  66: 256 op, 710452600.00 ns, 2.7752 ms/op
WorkloadResult  67: 256 op, 695912300.00 ns, 2.7184 ms/op
WorkloadResult  68: 256 op, 690672700.00 ns, 2.6979 ms/op
WorkloadResult  69: 256 op, 690099500.00 ns, 2.6957 ms/op
WorkloadResult  70: 256 op, 653290100.00 ns, 2.5519 ms/op
WorkloadResult  71: 256 op, 739464400.00 ns, 2.8885 ms/op
WorkloadResult  72: 256 op, 772649300.00 ns, 3.0182 ms/op
WorkloadResult  73: 256 op, 706330100.00 ns, 2.7591 ms/op
WorkloadResult  74: 256 op, 717448500.00 ns, 2.8025 ms/op
WorkloadResult  75: 256 op, 718552800.00 ns, 2.8068 ms/op
WorkloadResult  76: 256 op, 702352900.00 ns, 2.7436 ms/op
WorkloadResult  77: 256 op, 672576600.00 ns, 2.6273 ms/op
WorkloadResult  78: 256 op, 681691000.00 ns, 2.6629 ms/op
WorkloadResult  79: 256 op, 690122100.00 ns, 2.6958 ms/op
WorkloadResult  80: 256 op, 717885800.00 ns, 2.8042 ms/op
WorkloadResult  81: 256 op, 884425300.00 ns, 3.4548 ms/op
WorkloadResult  82: 256 op, 848767600.00 ns, 3.3155 ms/op
WorkloadResult  83: 256 op, 859512200.00 ns, 3.3575 ms/op
WorkloadResult  84: 256 op, 861725800.00 ns, 3.3661 ms/op
WorkloadResult  85: 256 op, 857671000.00 ns, 3.3503 ms/op
WorkloadResult  86: 256 op, 866333100.00 ns, 3.3841 ms/op
WorkloadResult  87: 256 op, 878188500.00 ns, 3.4304 ms/op
WorkloadResult  88: 256 op, 834532200.00 ns, 3.2599 ms/op
WorkloadResult  89: 256 op, 731773400.00 ns, 2.8585 ms/op
WorkloadResult  90: 256 op, 744539900.00 ns, 2.9084 ms/op
WorkloadResult  91: 256 op, 719920300.00 ns, 2.8122 ms/op
WorkloadResult  92: 256 op, 729764800.00 ns, 2.8506 ms/op
WorkloadResult  93: 256 op, 739523500.00 ns, 2.8888 ms/op
WorkloadResult  94: 256 op, 753365200.00 ns, 2.9428 ms/op
WorkloadResult  95: 256 op, 729889900.00 ns, 2.8511 ms/op
WorkloadResult  96: 256 op, 756066700.00 ns, 2.9534 ms/op
WorkloadResult  97: 256 op, 728457800.00 ns, 2.8455 ms/op
WorkloadResult  98: 256 op, 712516200.00 ns, 2.7833 ms/op
WorkloadResult  99: 256 op, 716122600.00 ns, 2.7974 ms/op
WorkloadResult  100: 256 op, 703008400.00 ns, 2.7461 ms/op
// GC:  0 0 0 0 256
// Threading:  0 0 256

// AfterAll
// Benchmark Process 28416 has exited with code 0.

Mean = 2.965 ms, StdErr = 0.030 ms (1.01%), N = 100, StdDev = 0.299 ms
Min = 2.507 ms, Q1 = 2.741 ms, Median = 2.844 ms, Q3 = 3.228 ms, Max = 3.738 ms
IQR = 0.487 ms, LowerFence = 2.010 ms, UpperFence = 3.958 ms
ConfidenceInterval = [2.863 ms; 3.066 ms] (CI 99.9%), Margin = 0.101 ms (3.42% of Mean)
Skewness = 0.78, Kurtosis = 2.44, MValue = 2.66

// ** Remained 0 (0,0%) benchmark(s) to run. Estimated finish 2025-12-10 1:18 (0h 0m from now) **
Successfully reverted power plan (GUID: 19cc9c30-81e8-4871-816e-364c5b911ef3 FriendlyName: ChrisTitus - Ultimate Power Plan)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\MatchingEngine.MatchingBenchmark-report.csv
  BenchmarkDotNet.Artifacts\results\MatchingEngine.MatchingBenchmark-report-github.md
  BenchmarkDotNet.Artifacts\results\MatchingEngine.MatchingBenchmark-report.html

// * Detailed results *
MatchingBenchmark.Match1000Orders: DefaultJob
Runtime = .NET 10.0.0 (10.0.0, 10.0.25.52411), X64 RyuJIT x86-64-v3; GC = Concurrent Workstation
Mean = 2.965 ms, StdErr = 0.030 ms (1.01%), N = 100, StdDev = 0.299 ms
Min = 2.507 ms, Q1 = 2.741 ms, Median = 2.844 ms, Q3 = 3.228 ms, Max = 3.738 ms
IQR = 0.487 ms, LowerFence = 2.010 ms, UpperFence = 3.958 ms
ConfidenceInterval = [2.863 ms; 3.066 ms] (CI 99.9%), Margin = 0.101 ms (3.42% of Mean)
Skewness = 0.78, Kurtosis = 2.44, MValue = 2.66
-------------------- Histogram --------------------
[2.423 ms ; 2.529 ms) | @
[2.529 ms ; 2.693 ms) | @@@@@@@@@
[2.693 ms ; 2.862 ms) | @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[2.862 ms ; 3.053 ms) | @@@@@@@@@@@@@@@
[3.053 ms ; 3.221 ms) | @@@@
[3.221 ms ; 3.390 ms) | @@@@@@@@@@@@@@@
[3.390 ms ; 3.560 ms) | @@@@@@@@@
[3.560 ms ; 3.745 ms) | @@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet v0.15.8, Windows 11 (10.0.26200.7309/25H2/2025Update/HudsonValley2)
12th Gen Intel Core i7-12700H 2.30GHz, 1 CPU, 20 logical and 14 physical cores
.NET SDK 10.0.100
  [Host]     : .NET 10.0.0 (10.0.0, 10.0.25.52411), X64 RyuJIT x86-64-v3
  DefaultJob : .NET 10.0.0 (10.0.0, 10.0.25.52411), X64 RyuJIT x86-64-v3


| Method          | Mean     | Error     | StdDev    | Median   | Allocated |
|---------------- |---------:|----------:|----------:|---------:|----------:|
| Match1000Orders | 2.965 ms | 0.1014 ms | 0.2989 ms | 2.844 ms |         - |

// * Legends *
  Mean      : Arithmetic mean of all measurements
  Error     : Half of 99.9% confidence interval
  StdDev    : Standard deviation of all measurements
  Median    : Value separating the higher half of all measurements (50th percentile)
  Allocated : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 ms      : 1 Millisecond (0.001 sec)

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
Run time: 00:01:25 (85.91 sec), executed benchmarks: 1

Global total time: 00:01:33 (93.65 sec), executed benchmarks: 1
// * Artifacts cleanup *
Artifacts cleanup is finished
