// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1/" /p:OutDir="C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1\bin\Release\net10.0/" /p:OutputPath="C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1\bin\Release\net10.0/" /p:PublishDir="C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1\publish/" in C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1
// command took 0.98 sec and exited with 0
// start dotnet  build -c Release --no-restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1/" /p:OutDir="C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1\bin\Release\net10.0/" /p:OutputPath="C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1\bin\Release\net10.0/" /p:PublishDir="C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1\publish/" --output "C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1\bin\Release\net10.0/" in C:\Users\Nika\Downloads\FalconFX\src\MatchingEngine\bin\Release\net10.0\MatchingEngine-DefaultJob-1
// command took 4.76 sec and exited with 0
// ***** Done, took 00:00:05 (5.79 sec)   *****
// Found 1 benchmarks:
//   MatchingBenchmark.Match1000Orders: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
OverheadActual   3: 256 op, 1000.00 ns, 3.9063 ns/op
OverheadActual   4: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual   5: 256 op, 1000.00 ns, 3.9063 ns/op
OverheadActual   6: 256 op, 1300.00 ns, 5.0781 ns/op
OverheadActual   7: 256 op, 1000.00 ns, 3.9063 ns/op
OverheadActual   8: 256 op, 1000.00 ns, 3.9063 ns/op
OverheadActual   9: 256 op, 1000.00 ns, 3.9063 ns/op
OverheadActual  10: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual  11: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual  12: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual  13: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual  14: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  15: 256 op, 1000.00 ns, 3.9063 ns/op
OverheadActual  16: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  17: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  18: 256 op, 1000.00 ns, 3.9063 ns/op
OverheadActual  19: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  20: 256 op, 900.00 ns, 3.5156 ns/op

WorkloadWarmup   1: 256 op, 700804700.00 ns, 2.7375 ms/op
WorkloadWarmup   2: 256 op, 921212700.00 ns, 3.5985 ms/op
WorkloadWarmup   3: 256 op, 931264400.00 ns, 3.6378 ms/op
WorkloadWarmup   4: 256 op, 942755800.00 ns, 3.6826 ms/op
WorkloadWarmup   5: 256 op, 930384100.00 ns, 3.6343 ms/op
WorkloadWarmup   6: 256 op, 926555700.00 ns, 3.6194 ms/op
WorkloadWarmup   7: 256 op, 842963300.00 ns, 3.2928 ms/op
WorkloadWarmup   8: 256 op, 887220500.00 ns, 3.4657 ms/op
WorkloadWarmup   9: 256 op, 873186500.00 ns, 3.4109 ms/op

// BeforeActualRun
WorkloadActual   1: 256 op, 810806500.00 ns, 3.1672 ms/op
WorkloadActual   2: 256 op, 835548100.00 ns, 3.2639 ms/op
WorkloadActual   3: 256 op, 804324600.00 ns, 3.1419 ms/op
WorkloadActual   4: 256 op, 763230800.00 ns, 2.9814 ms/op
WorkloadActual   5: 256 op, 664010500.00 ns, 2.5938 ms/op
WorkloadActual   6: 256 op, 654056500.00 ns, 2.5549 ms/op
WorkloadActual   7: 256 op, 628591100.00 ns, 2.4554 ms/op
WorkloadActual   8: 256 op, 729654500.00 ns, 2.8502 ms/op
WorkloadActual   9: 256 op, 753922000.00 ns, 2.9450 ms/op
WorkloadActual  10: 256 op, 596235100.00 ns, 2.3290 ms/op
WorkloadActual  11: 256 op, 844421700.00 ns, 3.2985 ms/op
WorkloadActual  12: 256 op, 827842900.00 ns, 3.2338 ms/op
WorkloadActual  13: 256 op, 792503300.00 ns, 3.0957 ms/op
WorkloadActual  14: 256 op, 782412300.00 ns, 3.0563 ms/op
WorkloadActual  15: 256 op, 809988600.00 ns, 3.1640 ms/op
WorkloadActual  16: 256 op, 816576600.00 ns, 3.1898 ms/op
WorkloadActual  17: 256 op, 808709800.00 ns, 3.1590 ms/op
WorkloadActual  18: 256 op, 814237900.00 ns, 3.1806 ms/op
WorkloadActual  19: 256 op, 784967300.00 ns, 3.0663 ms/op
WorkloadActual  20: 256 op, 775942000.00 ns, 3.0310 ms/op
WorkloadActual  21: 256 op, 786963300.00 ns, 3.0741 ms/op
WorkloadActual  22: 256 op, 810198900.00 ns, 3.1648 ms/op
WorkloadActual  23: 256 op, 816113000.00 ns, 3.1879 ms/op
WorkloadActual  24: 256 op, 845445400.00 ns, 3.3025 ms/op
WorkloadActual  25: 256 op, 804311800.00 ns, 3.1418 ms/op
WorkloadActual  26: 256 op, 800360900.00 ns, 3.1264 ms/op
WorkloadActual  27: 256 op, 916698100.00 ns, 3.5809 ms/op
WorkloadActual  28: 256 op, 858274100.00 ns, 3.3526 ms/op
WorkloadActual  29: 256 op, 766978900.00 ns, 2.9960 ms/op
WorkloadActual  30: 256 op, 796732600.00 ns, 3.1122 ms/op
WorkloadActual  31: 256 op, 772768700.00 ns, 3.0186 ms/op
WorkloadActual  32: 256 op, 802870800.00 ns, 3.1362 ms/op
WorkloadActual  33: 256 op, 792459700.00 ns, 3.0955 ms/op
WorkloadActual  34: 256 op, 787956500.00 ns, 3.0780 ms/op
WorkloadActual  35: 256 op, 794997800.00 ns, 3.1055 ms/op
WorkloadActual  36: 256 op, 788990700.00 ns, 3.0820 ms/op
WorkloadActual  37: 256 op, 789518600.00 ns, 3.0841 ms/op
WorkloadActual  38: 256 op, 822132900.00 ns, 3.2115 ms/op
WorkloadActual  39: 256 op, 755260500.00 ns, 2.9502 ms/op
WorkloadActual  40: 256 op, 753498200.00 ns, 2.9434 ms/op
WorkloadActual  41: 256 op, 773679700.00 ns, 3.0222 ms/op
WorkloadActual  42: 256 op, 753221900.00 ns, 2.9423 ms/op
WorkloadActual  43: 256 op, 748903200.00 ns, 2.9254 ms/op
WorkloadActual  44: 256 op, 758364200.00 ns, 2.9624 ms/op
WorkloadActual  45: 256 op, 786283500.00 ns, 3.0714 ms/op
WorkloadActual  46: 256 op, 765614700.00 ns, 2.9907 ms/op
WorkloadActual  47: 256 op, 756536000.00 ns, 2.9552 ms/op
WorkloadActual  48: 256 op, 777094300.00 ns, 3.0355 ms/op
WorkloadActual  49: 256 op, 756530400.00 ns, 2.9552 ms/op
WorkloadActual  50: 256 op, 773032100.00 ns, 3.0197 ms/op
WorkloadActual  51: 256 op, 772628100.00 ns, 3.0181 ms/op
WorkloadActual  52: 256 op, 779332500.00 ns, 3.0443 ms/op
WorkloadActual  53: 256 op, 788591400.00 ns, 3.0804 ms/op
WorkloadActual  54: 256 op, 818530800.00 ns, 3.1974 ms/op
WorkloadActual  55: 256 op, 789735600.00 ns, 3.0849 ms/op
WorkloadActual  56: 256 op, 764234700.00 ns, 2.9853 ms/op
WorkloadActual  57: 256 op, 758778100.00 ns, 2.9640 ms/op
WorkloadActual  58: 256 op, 789679400.00 ns, 3.0847 ms/op
WorkloadActual  59: 256 op, 776942700.00 ns, 3.0349 ms/op
WorkloadActual  60: 256 op, 761258100.00 ns, 2.9737 ms/op
WorkloadActual  61: 256 op, 752443900.00 ns, 2.9392 ms/op
WorkloadActual  62: 256 op, 772109500.00 ns, 3.0161 ms/op
WorkloadActual  63: 256 op, 829778200.00 ns, 3.2413 ms/op
WorkloadActual  64: 256 op, 953271900.00 ns, 3.7237 ms/op
WorkloadActual  65: 256 op, 839164200.00 ns, 3.2780 ms/op
WorkloadActual  66: 256 op, 781147400.00 ns, 3.0514 ms/op
WorkloadActual  67: 256 op, 784781900.00 ns, 3.0656 ms/op
WorkloadActual  68: 256 op, 789226300.00 ns, 3.0829 ms/op
WorkloadActual  69: 256 op, 811047600.00 ns, 3.1682 ms/op
WorkloadActual  70: 256 op, 804903400.00 ns, 3.1442 ms/op
WorkloadActual  71: 256 op, 833555500.00 ns, 3.2561 ms/op
WorkloadActual  72: 256 op, 789229200.00 ns, 3.0829 ms/op
WorkloadActual  73: 256 op, 730219600.00 ns, 2.8524 ms/op
WorkloadActual  74: 256 op, 761869700.00 ns, 2.9761 ms/op
WorkloadActual  75: 256 op, 744412900.00 ns, 2.9079 ms/op
WorkloadActual  76: 256 op, 778582700.00 ns, 3.0413 ms/op
WorkloadActual  77: 256 op, 897308800.00 ns, 3.5051 ms/op
WorkloadActual  78: 256 op, 847681200.00 ns, 3.3113 ms/op
WorkloadActual  79: 256 op, 760428300.00 ns, 2.9704 ms/op
WorkloadActual  80: 256 op, 769322400.00 ns, 3.0052 ms/op
WorkloadActual  81: 256 op, 758123800.00 ns, 2.9614 ms/op
WorkloadActual  82: 256 op, 758597800.00 ns, 2.9633 ms/op
WorkloadActual  83: 256 op, 789040800.00 ns, 3.0822 ms/op
WorkloadActual  84: 256 op, 872706200.00 ns, 3.4090 ms/op
WorkloadActual  85: 256 op, 903758100.00 ns, 3.5303 ms/op
WorkloadActual  86: 256 op, 769601000.00 ns, 3.0063 ms/op
WorkloadActual  87: 256 op, 759329900.00 ns, 2.9661 ms/op
WorkloadActual  88: 256 op, 761402900.00 ns, 2.9742 ms/op
WorkloadActual  89: 256 op, 747170000.00 ns, 2.9186 ms/op
WorkloadActual  90: 256 op, 748980000.00 ns, 2.9257 ms/op
WorkloadActual  91: 256 op, 751092400.00 ns, 2.9340 ms/op
WorkloadActual  92: 256 op, 750448900.00 ns, 2.9314 ms/op
WorkloadActual  93: 256 op, 764331400.00 ns, 2.9857 ms/op
WorkloadActual  94: 256 op, 767553100.00 ns, 2.9983 ms/op

// AfterActualRun
WorkloadResult   1: 256 op, 810805550.00 ns, 3.1672 ms/op
WorkloadResult   2: 256 op, 835547150.00 ns, 3.2639 ms/op
WorkloadResult   3: 256 op, 804323650.00 ns, 3.1419 ms/op
WorkloadResult   4: 256 op, 763229850.00 ns, 2.9814 ms/op
WorkloadResult   5: 256 op, 664009550.00 ns, 2.5938 ms/op
WorkloadResult   6: 256 op, 654055550.00 ns, 2.5549 ms/op
WorkloadResult   7: 256 op, 628590150.00 ns, 2.4554 ms/op
WorkloadResult   8: 256 op, 729653550.00 ns, 2.8502 ms/op
WorkloadResult   9: 256 op, 753921050.00 ns, 2.9450 ms/op
WorkloadResult  10: 256 op, 596234150.00 ns, 2.3290 ms/op
WorkloadResult  11: 256 op, 844420750.00 ns, 3.2985 ms/op
WorkloadResult  12: 256 op, 827841950.00 ns, 3.2338 ms/op
WorkloadResult  13: 256 op, 792502350.00 ns, 3.0957 ms/op
WorkloadResult  14: 256 op, 782411350.00 ns, 3.0563 ms/op
WorkloadResult  15: 256 op, 809987650.00 ns, 3.1640 ms/op
WorkloadResult  16: 256 op, 816575650.00 ns, 3.1897 ms/op
WorkloadResult  17: 256 op, 808708850.00 ns, 3.1590 ms/op
WorkloadResult  18: 256 op, 814236950.00 ns, 3.1806 ms/op
WorkloadResult  19: 256 op, 784966350.00 ns, 3.0663 ms/op
WorkloadResult  20: 256 op, 775941050.00 ns, 3.0310 ms/op
WorkloadResult  21: 256 op, 786962350.00 ns, 3.0741 ms/op
WorkloadResult  22: 256 op, 810197950.00 ns, 3.1648 ms/op
WorkloadResult  23: 256 op, 816112050.00 ns, 3.1879 ms/op
WorkloadResult  24: 256 op, 845444450.00 ns, 3.3025 ms/op
WorkloadResult  25: 256 op, 804310850.00 ns, 3.1418 ms/op
WorkloadResult  26: 256 op, 800359950.00 ns, 3.1264 ms/op
WorkloadResult  27: 256 op, 858273150.00 ns, 3.3526 ms/op
WorkloadResult  28: 256 op, 766977950.00 ns, 2.9960 ms/op
WorkloadResult  29: 256 op, 796731650.00 ns, 3.1122 ms/op
WorkloadResult  30: 256 op, 772767750.00 ns, 3.0186 ms/op
WorkloadResult  31: 256 op, 802869850.00 ns, 3.1362 ms/op
WorkloadResult  32: 256 op, 792458750.00 ns, 3.0955 ms/op
WorkloadResult  33: 256 op, 787955550.00 ns, 3.0780 ms/op
WorkloadResult  34: 256 op, 794996850.00 ns, 3.1055 ms/op
WorkloadResult  35: 256 op, 788989750.00 ns, 3.0820 ms/op
WorkloadResult  36: 256 op, 789517650.00 ns, 3.0841 ms/op
WorkloadResult  37: 256 op, 822131950.00 ns, 3.2115 ms/op
WorkloadResult  38: 256 op, 755259550.00 ns, 2.9502 ms/op
WorkloadResult  39: 256 op, 753497250.00 ns, 2.9433 ms/op
WorkloadResult  40: 256 op, 773678750.00 ns, 3.0222 ms/op
WorkloadResult  41: 256 op, 753220950.00 ns, 2.9423 ms/op
WorkloadResult  42: 256 op, 748902250.00 ns, 2.9254 ms/op
WorkloadResult  43: 256 op, 758363250.00 ns, 2.9624 ms/op
WorkloadResult  44: 256 op, 786282550.00 ns, 3.0714 ms/op
WorkloadResult  45: 256 op, 765613750.00 ns, 2.9907 ms/op
WorkloadResult  46: 256 op, 756535050.00 ns, 2.9552 ms/op
WorkloadResult  47: 256 op, 777093350.00 ns, 3.0355 ms/op
WorkloadResult  48: 256 op, 756529450.00 ns, 2.9552 ms/op
WorkloadResult  49: 256 op, 773031150.00 ns, 3.0197 ms/op
WorkloadResult  50: 256 op, 772627150.00 ns, 3.0181 ms/op
WorkloadResult  51: 256 op, 779331550.00 ns, 3.0443 ms/op
WorkloadResult  52: 256 op, 788590450.00 ns, 3.0804 ms/op
WorkloadResult  53: 256 op, 818529850.00 ns, 3.1974 ms/op
WorkloadResult  54: 256 op, 789734650.00 ns, 3.0849 ms/op
WorkloadResult  55: 256 op, 764233750.00 ns, 2.9853 ms/op
WorkloadResult  56: 256 op, 758777150.00 ns, 2.9640 ms/op
WorkloadResult  57: 256 op, 789678450.00 ns, 3.0847 ms/op
WorkloadResult  58: 256 op, 776941750.00 ns, 3.0349 ms/op
WorkloadResult  59: 256 op, 761257150.00 ns, 2.9737 ms/op
WorkloadResult  60: 256 op, 752442950.00 ns, 2.9392 ms/op
WorkloadResult  61: 256 op, 772108550.00 ns, 3.0160 ms/op
WorkloadResult  62: 256 op, 829777250.00 ns, 3.2413 ms/op
WorkloadResult  63: 256 op, 839163250.00 ns, 3.2780 ms/op
WorkloadResult  64: 256 op, 781146450.00 ns, 3.0514 ms/op
WorkloadResult  65: 256 op, 784780950.00 ns, 3.0656 ms/op
WorkloadResult  66: 256 op, 789225350.00 ns, 3.0829 ms/op
WorkloadResult  67: 256 op, 811046650.00 ns, 3.1682 ms/op
WorkloadResult  68: 256 op, 804902450.00 ns, 3.1442 ms/op
WorkloadResult  69: 256 op, 833554550.00 ns, 3.2561 ms/op
WorkloadResult  70: 256 op, 789228250.00 ns, 3.0829 ms/op
WorkloadResult  71: 256 op, 730218650.00 ns, 2.8524 ms/op
WorkloadResult  72: 256 op, 761868750.00 ns, 2.9760 ms/op
WorkloadResult  73: 256 op, 744411950.00 ns, 2.9079 ms/op
WorkloadResult  74: 256 op, 778581750.00 ns, 3.0413 ms/op
WorkloadResult  75: 256 op, 847680250.00 ns, 3.3113 ms/op
WorkloadResult  76: 256 op, 760427350.00 ns, 2.9704 ms/op
WorkloadResult  77: 256 op, 769321450.00 ns, 3.0052 ms/op
WorkloadResult  78: 256 op, 758122850.00 ns, 2.9614 ms/op
WorkloadResult  79: 256 op, 758596850.00 ns, 2.9633 ms/op
WorkloadResult  80: 256 op, 789039850.00 ns, 3.0822 ms/op
WorkloadResult  81: 256 op, 872705250.00 ns, 3.4090 ms/op
WorkloadResult  82: 256 op, 769600050.00 ns, 3.0063 ms/op
WorkloadResult  83: 256 op, 759328950.00 ns, 2.9661 ms/op
WorkloadResult  84: 256 op, 761401950.00 ns, 2.9742 ms/op
WorkloadResult  85: 256 op, 747169050.00 ns, 2.9186 ms/op
WorkloadResult  86: 256 op, 748979050.00 ns, 2.9257 ms/op
WorkloadResult  87: 256 op, 751091450.00 ns, 2.9340 ms/op
WorkloadResult  88: 256 op, 750447950.00 ns, 2.9314 ms/op
WorkloadResult  89: 256 op, 764330450.00 ns, 2.9857 ms/op
WorkloadResult  90: 256 op, 767552150.00 ns, 2.9983 ms/op
// GC:  0 0 0 5146624 256
// Threading:  0 0 256

// AfterAll
// Benchmark Process 25892 has exited with code 0.

Mean = 3.041 ms, StdErr = 0.018 ms (0.58%), N = 90, StdDev = 0.168 ms
Min = 2.329 ms, Q1 = 2.965 ms, Median = 3.043 ms, Q3 = 3.140 ms, Max = 3.409 ms
IQR = 0.176 ms, LowerFence = 2.701 ms, UpperFence = 3.404 ms
ConfidenceInterval = [2.981 ms; 3.102 ms] (CI 99.9%), Margin = 0.060 ms (1.98% of Mean)
Skewness = -1.36, Kurtosis = 7.41, MValue = 2

// ** Remained 0 (0,0%) benchmark(s) to run. Estimated finish 2025-12-09 23:11 (0h 0m from now) **
Successfully reverted power plan (GUID: 19cc9c30-81e8-4871-816e-364c5b911ef3 FriendlyName: ChrisTitus - Ultimate Power Plan)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\MatchingEngine.MatchingBenchmark-report.csv
  BenchmarkDotNet.Artifacts\results\MatchingEngine.MatchingBenchmark-report-github.md
  BenchmarkDotNet.Artifacts\results\MatchingEngine.MatchingBenchmark-report.html

// * Detailed results *
MatchingBenchmark.Match1000Orders: DefaultJob
Runtime = .NET 10.0.0 (10.0.0, 10.0.25.52411), X64 RyuJIT x86-64-v3; GC = Concurrent Workstation
Mean = 3.041 ms, StdErr = 0.018 ms (0.58%), N = 90, StdDev = 0.168 ms
Min = 2.329 ms, Q1 = 2.965 ms, Median = 3.043 ms, Q3 = 3.140 ms, Max = 3.409 ms
IQR = 0.176 ms, LowerFence = 2.701 ms, UpperFence = 3.404 ms
ConfidenceInterval = [2.981 ms; 3.102 ms] (CI 99.9%), Margin = 0.060 ms (1.98% of Mean)
Skewness = -1.36, Kurtosis = 7.41, MValue = 2
-------------------- Histogram --------------------
[2.280 ms ; 2.378 ms) | @
[2.378 ms ; 2.505 ms) | @
[2.505 ms ; 2.624 ms) | @@
[2.624 ms ; 2.722 ms) | 
[2.722 ms ; 2.835 ms) | 
[2.835 ms ; 2.925 ms) | @@@@
[2.925 ms ; 3.023 ms) | @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[3.023 ms ; 3.128 ms) | @@@@@@@@@@@@@@@@@@@@@@@@@
[3.128 ms ; 3.234 ms) | @@@@@@@@@@@@@@@
[3.234 ms ; 3.326 ms) | @@@@@@@
[3.326 ms ; 3.430 ms) | @@
---------------------------------------------------

// * Summary *

BenchmarkDotNet v0.15.8, Windows 11 (10.0.26200.7309/25H2/2025Update/HudsonValley2)
12th Gen Intel Core i7-12700H 2.30GHz, 1 CPU, 20 logical and 14 physical cores
.NET SDK 10.0.100
  [Host]     : .NET 10.0.0 (10.0.0, 10.0.25.52411), X64 RyuJIT x86-64-v3
  DefaultJob : .NET 10.0.0 (10.0.0, 10.0.25.52411), X64 RyuJIT x86-64-v3


| Method          | Mean     | Error     | StdDev    | Allocated |
|---------------- |---------:|----------:|----------:|----------:|
| Match1000Orders | 3.041 ms | 0.0603 ms | 0.1682 ms |  19.63 KB |

// * Hints *
Outliers
  MatchingBenchmark.Match1000Orders: Default -> 4 outliers were removed, 8 outliers were detected (2.33 ms..2.59 ms, 3.51 ms..3.72 ms)

// * Legends *
  Mean      : Arithmetic mean of all measurements
  Error     : Half of 99.9% confidence interval
  StdDev    : Standard deviation of all measurements
  Allocated : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 ms      : 1 Millisecond (0.001 sec)

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
Run time: 00:01:25 (85.57 sec), executed benchmarks: 1

Global total time: 00:01:31 (91.83 sec), executed benchmarks: 1
// * Artifacts cleanup *
Artifacts cleanup is finished
